,Book-Title,Book-Author,Publisher,Year-Of-Publication,Image-URL-M
31,The Kitchen God's Wife,Amy Tan,Putnam Pub Group,1991,https://images.amazon.com/images/P/0399135782.01.MZZZZZZZ.jpg
103,The Testament,John Grisham,Dell,1999,https://images.amazon.com/images/P/0440234743.01.MZZZZZZZ.jpg
521,Beloved,Toni Morrison,Plume,1994,https://images.amazon.com/images/P/0452264464.01.MZZZZZZZ.jpg
775,Wild Animus,Rich Shapero,Too Far,2004,https://images.amazon.com/images/P/0971880107.01.MZZZZZZZ.jpg
3276,Airframe,Michael Crichton,Ballantine Books,1997,https://images.amazon.com/images/P/0345402871.01.MZZZZZZZ.jpg
3484,Timeline,MICHAEL CRICHTON,Ballantine Books,2000,https://images.amazon.com/images/P/0345417623.01.MZZZZZZZ.jpg
3958,To Kill a Mockingbird,Harper Lee,Little Brown &amp; Company,1988,https://images.amazon.com/images/P/0446310786.01.MZZZZZZZ.jpg
4350,Seabiscuit: An American Legend,LAURA HILLENBRAND,Ballantine Books,2002,https://images.amazon.com/images/P/0449005615.01.MZZZZZZZ.jpg
4592,Pigs in Heaven,Barbara Kingsolver,Harpercollins,1993,https://images.amazon.com/images/P/0060168013.01.MZZZZZZZ.jpg
4656,Pride and Prejudice,Jane Austen,Bantam,1983,https://images.amazon.com/images/P/055321215X.01.MZZZZZZZ.jpg
4703,Icebound,Dean R. Koontz,Bantam Books,2000,https://images.amazon.com/images/P/0553582909.01.MZZZZZZZ.jpg
4734,I'll Be Seeing You,Mary Higgins Clark,Pocket,1994,https://images.amazon.com/images/P/0671888587.01.MZZZZZZZ.jpg
4872,From the Corner of His Eye,Dean Koontz,Bantam Books,2001,https://images.amazon.com/images/P/0553582747.01.MZZZZZZZ.jpg
5035,Isle of Dogs,Patricia Cornwell,Berkley Publishing Group,2002,https://images.amazon.com/images/P/0425182908.01.MZZZZZZZ.jpg
5235,Purity in Death,J.D. Robb,Berkley Publishing Group,2002,https://images.amazon.com/images/P/042518630X.01.MZZZZZZZ.jpg
5531,The Street Lawyer,JOHN GRISHAM,Dell,1999,https://images.amazon.com/images/P/0440225701.01.MZZZZZZZ.jpg
6057,Breathing Lessons,Anne Tyler,Berkley Publishing Group,1994,https://images.amazon.com/images/P/042511774X.01.MZZZZZZZ.jpg
6230,The Joy Luck Club,Amy Tan,Prentice Hall (K-12),1994,https://images.amazon.com/images/P/0804106304.01.MZZZZZZZ.jpg
6808,The Tao of Pooh,Benjamin Hoff,Penguin Books,1983,https://images.amazon.com/images/P/0140067477.01.MZZZZZZZ.jpg
7000,Seabiscuit,LAURA HILLENBRAND,Ballantine Books,2003,https://images.amazon.com/images/P/0345465083.01.MZZZZZZZ.jpg
7478,The Catcher in the Rye,J.D. Salinger,"Little, Brown",1991,https://images.amazon.com/images/P/0316769487.01.MZZZZZZZ.jpg
7920,Midnight in the Garden of Good and Evil: A Savannah Story,John Berendt,Random House,1994,https://images.amazon.com/images/P/0679429220.01.MZZZZZZZ.jpg
8184,Pretend You Don't See Her,Mary Higgins Clark,Pocket,1998,https://images.amazon.com/images/P/0671867156.01.MZZZZZZZ.jpg
8354,Fast Women,Jennifer Crusie,St. Martin's Press,2001,https://images.amazon.com/images/P/0312252617.01.MZZZZZZZ.jpg
8487,The Pillars of the Earth,Ken Follett,Signet Book,1996,https://images.amazon.com/images/P/0451166892.01.MZZZZZZZ.jpg
8838,The Five People You Meet in Heaven,Mitch Albom,Hyperion,2003,https://images.amazon.com/images/P/0786868716.01.MZZZZZZZ.jpg
9302,The Alibi,Sandra Brown,Warner Books,2000,https://images.amazon.com/images/P/0446608653.01.MZZZZZZZ.jpg
9389,The Beach House,James Patterson,Warner Books,2003,https://images.amazon.com/images/P/0446612545.01.MZZZZZZZ.jpg
9774,Angels and Demons,Dan Brown,Pocket Star,2001,https://images.amazon.com/images/P/0671027360.01.MZZZZZZZ.jpg
10554,The Girl Who Loved Tom Gordon,Stephen King,Pocket,2000,https://images.amazon.com/images/P/0671042858.01.MZZZZZZZ.jpg
11017,Little Altars Everywhere: A Novel,Rebecca Wells,Perennial,1996,https://images.amazon.com/images/P/0060976845.01.MZZZZZZZ.jpg
11521,Before I Say Good-Bye,Mary Higgins Clark,Pocket,2001,https://images.amazon.com/images/P/0671004573.01.MZZZZZZZ.jpg
11690,Slow Waltz in Cedar Bend,Robert James Waller,Warner Books,1994,https://images.amazon.com/images/P/0446601640.01.MZZZZZZZ.jpg
11770,Atonement : A Novel,IAN MCEWAN,Anchor,2003,https://images.amazon.com/images/P/038572179X.01.MZZZZZZZ.jpg
12114,Rebecca,Daphne Du Maurier,Avon,1994,https://images.amazon.com/images/P/0380778556.01.MZZZZZZZ.jpg
12266,Contact,Susan Grant,Love Spell,2002,https://images.amazon.com/images/P/0505524996.01.MZZZZZZZ.jpg
12402,Wish You Well,David Baldacci,Warner Books,2000,https://images.amazon.com/images/P/0446527165.01.MZZZZZZZ.jpg
12485,The Hitchhiker's Guide to the Galaxy,Douglas Adams,Pocket,1982,https://images.amazon.com/images/P/0671461494.01.MZZZZZZZ.jpg
12677,Bridget Jones's Diary,Helen Fielding,Picador (UK),1997,https://images.amazon.com/images/P/0330332775.01.MZZZZZZZ.jpg
12983,Fahrenheit 451,Ray Bradbury,Distribooks Inc,1994,https://images.amazon.com/images/P/3257208626.01.MZZZZZZZ.jpg
13096,The God of Small Things,Arundhati Roy,Perennial,1998,https://images.amazon.com/images/P/0060977493.01.MZZZZZZZ.jpg
13443,Four Blind Mice,James Patterson,"Little, Brown",2002,https://images.amazon.com/images/P/0316693006.01.MZZZZZZZ.jpg
13623,Congo,Michael Crichton,Ballantine Books,1995,https://images.amazon.com/images/P/0345378490.01.MZZZZZZZ.jpg
14065,Plainsong,KENT HARUF,Vintage,2000,https://images.amazon.com/images/P/0375705856.01.MZZZZZZZ.jpg
14222,Body of Evidence,Patricia D. Cornwell,Avon,1992,https://images.amazon.com/images/P/0380717018.01.MZZZZZZZ.jpg
14354,All That Remains,Patricia D. Cornwell,Avon,1993,https://images.amazon.com/images/P/0380718332.01.MZZZZZZZ.jpg
14616,The Brethren,JOHN GRISHAM,Doubleday,2000,https://images.amazon.com/images/P/0385497466.01.MZZZZZZZ.jpg
14758,The King of Torts,John Grisham,Doubleday Books,2003,https://images.amazon.com/images/P/0385508042.01.MZZZZZZZ.jpg
15050,Bleachers,John Grisham,Doubleday,2003,https://images.amazon.com/images/P/0385511612.01.MZZZZZZZ.jpg
15356,Roses Are Red,James Patterson,Warner Vision,2001,https://images.amazon.com/images/P/0446605484.01.MZZZZZZZ.jpg
15587,The Rescue,Nicholas Sparks,Warner Books,2001,https://images.amazon.com/images/P/0446610399.01.MZZZZZZZ.jpg
15967,Pet Sematary,Stephen King,Signet Book,1994,https://images.amazon.com/images/P/0451162072.01.MZZZZZZZ.jpg
16078,Girl with a Pearl Earring,Tracy Chevalier,Plume Books,2001,https://images.amazon.com/images/P/0452282152.01.MZZZZZZZ.jpg
16803,Deception Point,Dan Brown,Pocket,2002,https://images.amazon.com/images/P/0671027387.01.MZZZZZZZ.jpg
17047,Tis : A Memoir,Frank McCourt,Scribner,1999,https://images.amazon.com/images/P/0684848783.01.MZZZZZZZ.jpg
17408,Chicken Soup for the Soul,Jack Canfield,Health Communications,1993,https://images.amazon.com/images/P/155874262X.01.MZZZZZZZ.jpg
17612,Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,Regan Books,1996,https://images.amazon.com/images/P/0060987103.01.MZZZZZZZ.jpg
17938,Life of Pi,Yann Martel,Harcourt,2002,https://images.amazon.com/images/P/0151008116.01.MZZZZZZZ.jpg
18268,Secret History,DONNA TARTT,Ballantine Books,1993,https://images.amazon.com/images/P/0804111359.01.MZZZZZZZ.jpg
18434,Chicken Soup for the Woman's Soul,Jack Canfield,Health Communications,1996,https://images.amazon.com/images/P/1558744150.01.MZZZZZZZ.jpg
18912,The Amber Spyglass,PHILIP PULLMAN,Knopf Books for Young Readers,2002,https://images.amazon.com/images/P/0375823352.01.MZZZZZZZ.jpg
18921,The Golden Compass,PHILIP PULLMAN,Knopf Books for Young Readers,2002,https://images.amazon.com/images/P/037582345X.01.MZZZZZZZ.jpg
18938,The Subtle Knife,PHILIP PULLMAN,Knopf Books for Young Readers,2002,https://images.amazon.com/images/P/0375823468.01.MZZZZZZZ.jpg
19167,Animal Farm,George Orwell,Signet,2004,https://images.amazon.com/images/P/0451526341.01.MZZZZZZZ.jpg
19629,A Man in Full,Tom Wolfe,Farrar Straus &amp; Giroux,1998,https://images.amazon.com/images/P/0374270325.01.MZZZZZZZ.jpg
19834,A Painted House,John Grisham,Dell Publishing Company,2001,https://images.amazon.com/images/P/044023722X.01.MZZZZZZZ.jpg
20520,The Perfect Storm : A True Story of Men Against the Sea,Sebastian Junger,Perennial,1999,https://images.amazon.com/images/P/0060977477.01.MZZZZZZZ.jpg
20930,Vinegar Hill,A. Manette Ansay,Perennial,1998,https://images.amazon.com/images/P/0380730138.01.MZZZZZZZ.jpg
21289,The Hunt for Red October,Tom Clancy,Berkley Publishing Group,1990,https://images.amazon.com/images/P/0425120279.01.MZZZZZZZ.jpg
21614,The Secret Life of Bees,Sue Monk Kidd,Penguin Books,2003,https://images.amazon.com/images/P/0142001740.01.MZZZZZZZ.jpg
22236,Digital Fortress : A Thriller,Dan Brown,St. Martin's Press,2003,https://images.amazon.com/images/P/0312995423.01.MZZZZZZZ.jpg
22520,The Firm,John Grisham,Doubleday Books,1991,https://images.amazon.com/images/P/0385416342.01.MZZZZZZZ.jpg
22596,The Client,John Grisham,Doubleday Books,1993,https://images.amazon.com/images/P/038542471X.01.MZZZZZZZ.jpg
22783,Heart of the Sea,Nora Roberts,Jove Books,2000,https://images.amazon.com/images/P/0515128554.01.MZZZZZZZ.jpg
23219,The Little Prince,Antoine de Saint-Exup̩ry,Harcourt,1968,https://images.amazon.com/images/P/0156528207.01.MZZZZZZZ.jpg
23503,Moonlight Becomes You,Mary Higgins Clark,Pocket,1997,https://images.amazon.com/images/P/0671867113.01.MZZZZZZZ.jpg
24187,The Lovely Bones: A Novel,Alice Sebold,"Little, Brown",2002,https://images.amazon.com/images/P/0316666343.01.MZZZZZZZ.jpg
25488,Hannibal,Thomas Harris,Dell Publishing Company,2000,https://images.amazon.com/images/P/0440224675.01.MZZZZZZZ.jpg
25910,The Robber Bride,Margaret Atwood,Bantam,1995,https://images.amazon.com/images/P/0553569058.01.MZZZZZZZ.jpg
27406,A Widow for One Year,JOHN IRVING,Ballantine Books,1999,https://images.amazon.com/images/P/0345424719.01.MZZZZZZZ.jpg
27563,Empire Falls,Richard Russo,Vintage Books USA,2002,https://images.amazon.com/images/P/0375726403.01.MZZZZZZZ.jpg
27878,Oryx and Crake,Margaret Atwood,Nan A. Talese,2003,https://images.amazon.com/images/P/0385503857.01.MZZZZZZZ.jpg
27998,Black and Blue,ANNA QUINDLEN,Dell,1999,https://images.amazon.com/images/P/0440226104.01.MZZZZZZZ.jpg
28381,She's Come Undone,Wally Lamb,Pocket,1998,https://images.amazon.com/images/P/0671021001.01.MZZZZZZZ.jpg
28909,Nickel and Dimed: On Getting By in America,Barbara Ehrenreich,Owl Books,2002,https://images.amazon.com/images/P/0805063897.01.MZZZZZZZ.jpg
29379,Left Behind: A Novel of the Earth's Last Days,Tim Lahaye,Tyndale House Publishers,1996,https://images.amazon.com/images/P/0842329129.01.MZZZZZZZ.jpg
29806,The Diary of Ellen Rimbauer: My Life at Rose Red,Joyce Reardon,Hyperion,2001,https://images.amazon.com/images/P/0786868015.01.MZZZZZZZ.jpg
30044,The Bean Trees,Barbara Kingsolver,Perennial,1989,https://images.amazon.com/images/P/0060915544.01.MZZZZZZZ.jpg
30521,The Red Tent,Anita Diamant,Picador USA,1998,https://images.amazon.com/images/P/0312195516.01.MZZZZZZZ.jpg
31472,The Nanny Diaries: A Novel,Emma McLaughlin,St. Martin's Press,2002,https://images.amazon.com/images/P/0312278586.01.MZZZZZZZ.jpg
32056,Postmortem,Patricia Daniels Cornwell,Harper Mass Market Paperbacks (Mm),1993,https://images.amazon.com/images/P/0380710218.01.MZZZZZZZ.jpg
32397,While My Pretty One Sleeps,Mary Higgins Clark,Pocket,1990,https://images.amazon.com/images/P/0671673688.01.MZZZZZZZ.jpg
33039,Three Junes,JULIA GLASS,Anchor,2003,https://images.amazon.com/images/P/0385721420.01.MZZZZZZZ.jpg
33210,Back Roads,Tawni O'Dell,Signet Book,2001,https://images.amazon.com/images/P/0451202341.01.MZZZZZZZ.jpg
33351,In Her Shoes : A Novel,Jennifer Weiner,Atria Books,2002,https://images.amazon.com/images/P/0743418190.01.MZZZZZZZ.jpg
33405,The Kiss,Danielle Steel,Delacorte Press,2001,https://images.amazon.com/images/P/0385335407.01.MZZZZZZZ.jpg
33648,Strangers,Dean R. Koontz,Berkley Publishing Group,2002,https://images.amazon.com/images/P/0425181111.01.MZZZZZZZ.jpg
33845,A Thousand Acres,JANE SMILEY,Ballantine Books,1992,https://images.amazon.com/images/P/0449907481.01.MZZZZZZZ.jpg
34190,River's End,Nora Roberts,Jove Books,2003,https://images.amazon.com/images/P/0515127833.01.MZZZZZZZ.jpg
34590,The Chamber,John Grisham,Doubleday Books,1994,https://images.amazon.com/images/P/0385424728.01.MZZZZZZZ.jpg
34751,The Partner,John Grisham,Doubleday Books,1997,https://images.amazon.com/images/P/0385472951.01.MZZZZZZZ.jpg
34886,Chosen Prey,John Sandford,Berkley Publishing Group,2004,https://images.amazon.com/images/P/0425182878.01.MZZZZZZZ.jpg
35034,Guilty as Sin,TAMI HOAG,Bantam,1997,https://images.amazon.com/images/P/0553564528.01.MZZZZZZZ.jpg
35172,Night Sins,TAMI HOAG,Bantam,1995,https://images.amazon.com/images/P/055356451X.01.MZZZZZZZ.jpg
35602,The Vampire Lestat,ANNE RICE,Ballantine Books,1986,https://images.amazon.com/images/P/0345313860.01.MZZZZZZZ.jpg
35906,The Mummy or Ramses the Damned,Anne Rice,Ballantine Books,1991,https://images.amazon.com/images/P/0345369947.01.MZZZZZZZ.jpg
36163,Vanished,Danielle Steel,Delacorte Press,1993,https://images.amazon.com/images/P/0385306032.01.MZZZZZZZ.jpg
36574,Daisy Fay and the Miracle Man,Fannie Flagg,Warner Books,1992,https://images.amazon.com/images/P/0446394521.01.MZZZZZZZ.jpg
36753,Angela's Ashes: A Memoir,Frank McCourt,Scribner,1999,https://images.amazon.com/images/P/068484267X.01.MZZZZZZZ.jpg
36973,The Next Accident,LISA GARDNER,Bantam,2002,https://images.amazon.com/images/P/0553578693.01.MZZZZZZZ.jpg
37496,Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,Perennial,2002,https://images.amazon.com/images/P/0060938455.01.MZZZZZZZ.jpg
37910,Echoes,Maeve Binchy,Dell,1989,https://images.amazon.com/images/P/0440122090.01.MZZZZZZZ.jpg
38079,One for the Money,Janet Evanovich,HarperTorch,1995,https://images.amazon.com/images/P/0061009059.01.MZZZZZZZ.jpg
38590,Along Came a Spider,James Patterson,Warner Books,1993,https://images.amazon.com/images/P/0446364193.01.MZZZZZZZ.jpg
39582,Where the Heart Is,Billie Letts,Warner Books,1998,https://images.amazon.com/images/P/0446672211.01.MZZZZZZZ.jpg
40166,The Girls' Guide to Hunting and Fishing,Melissa Bank,Penguin Books,2000,https://images.amazon.com/images/P/0140293248.01.MZZZZZZZ.jpg
40564,Icy Sparks,Gwyn Hyman Rubio,Penguin Books,2001,https://images.amazon.com/images/P/0142000205.01.MZZZZZZZ.jpg
41271,The Da Vinci Code,Dan Brown,Doubleday,2003,https://images.amazon.com/images/P/0385504209.01.MZZZZZZZ.jpg
42260,A Map of the World,Jane Hamilton,Doubleday Books,1999,https://images.amazon.com/images/P/0385500769.01.MZZZZZZZ.jpg
42279,Bridget Jones : The Edge of Reason,Helen Fielding,Viking Books,2000,https://images.amazon.com/images/P/0670892963.01.MZZZZZZZ.jpg
42586,Big Trouble,Dave Barry,Berkley Publishing Group,2002,https://images.amazon.com/images/P/0425184129.01.MZZZZZZZ.jpg
42656,Snow Falling on Cedars,David Guterson,Harcourt,1994,https://images.amazon.com/images/P/0151001006.01.MZZZZZZZ.jpg
42687,Skipping Christmas,JOHN GRISHAM,Doubleday,2001,https://images.amazon.com/images/P/0385505833.01.MZZZZZZZ.jpg
42897,The Reader,Bernhard Schlink,Random House,1997,https://images.amazon.com/images/P/0679442790.01.MZZZZZZZ.jpg
43036,Daddy's Little Girl,Mary Higgins Clark,Simon &amp; Schuster,2002,https://images.amazon.com/images/P/0743206045.01.MZZZZZZZ.jpg
43209,If Only It Were True,Marc Levy,Atria,2000,https://images.amazon.com/images/P/0743406176.01.MZZZZZZZ.jpg
43284,Message in a Bottle,Nicholas Sparks,Warner Books,1998,https://images.amazon.com/images/P/0446523569.01.MZZZZZZZ.jpg
43488,The Guardian,Nicholas Sparks,Warner Books,2003,https://images.amazon.com/images/P/0446527793.01.MZZZZZZZ.jpg
43572,Nights in Rodanthe,Nicholas Sparks,Warner Books,2002,https://images.amazon.com/images/P/0446531332.01.MZZZZZZZ.jpg
43741,"Like Water for Chocolate: A Novel in Monthly Installments, With Recipes, Romances, and Home Remedies",Laura Esquivel,Doubleday Books,1992,https://images.amazon.com/images/P/0385420161.01.MZZZZZZZ.jpg
43880,The Two Towers,J.R.R. TOLKIEN,Del Rey,1986,https://images.amazon.com/images/P/0345339711.01.MZZZZZZZ.jpg
44116,The Villa,Nora Roberts,Putnam Publishing Group,2001,https://images.amazon.com/images/P/0399147128.01.MZZZZZZZ.jpg
44240,Suzanne's Diary for Nicholas,James Patterson,"Little, Brown",2001,https://images.amazon.com/images/P/0316969443.01.MZZZZZZZ.jpg
44436,2nd Chance,James Patterson,"Little, Brown",2002,https://images.amazon.com/images/P/0316693200.01.MZZZZZZZ.jpg
44700,The Bad Beginning,Lemony Snicket,HarperCollins,1999,https://images.amazon.com/images/P/0064407667.01.MZZZZZZZ.jpg
45226,Me Talk Pretty One Day,David Sedaris,Back Bay Books,2001,https://images.amazon.com/images/P/0316776963.01.MZZZZZZZ.jpg
45701,The Door to December,Dean R. Koontz,Signet Book,1994,https://images.amazon.com/images/P/0451181379.01.MZZZZZZZ.jpg
46419,Dreamcatcher,Stephen King,Scribner,2001,https://images.amazon.com/images/P/0743211383.01.MZZZZZZZ.jpg
46690,Smilla's Sense of Snow,Peter Hoeg,Island,1997,https://images.amazon.com/images/P/0440218535.01.MZZZZZZZ.jpg
47126,The Giver,LOIS LOWRY,Laure Leaf,1994,https://images.amazon.com/images/P/0440219078.01.MZZZZZZZ.jpg
47951,Ender's Game,Orson Scott Card,Tor Books,1992,https://images.amazon.com/images/P/0312853238.01.MZZZZZZZ.jpg
48187,A Time to Kill,JOHN GRISHAM,Dell,1992,https://images.amazon.com/images/P/0440211727.01.MZZZZZZZ.jpg
49043,Charming Billy,Alice McDermott,Delta,1999,https://images.amazon.com/images/P/038533334X.01.MZZZZZZZ.jpg
49238,No Safe Place,RICHARD NORTH PATTERSON,Ballantine Books,1999,https://images.amazon.com/images/P/0345404777.01.MZZZZZZZ.jpg
49341,Granny Dan,DANIELLE STEEL,"Random House, Inc.",2000,https://images.amazon.com/images/P/0440224829.01.MZZZZZZZ.jpg
49648,Wuthering Heights,EMILY BRONTE,Bantam,1983,https://images.amazon.com/images/P/0553212583.01.MZZZZZZZ.jpg
49788,Toxin,Robin Cook,Berkley Publishing Group,1999,https://images.amazon.com/images/P/0425166619.01.MZZZZZZZ.jpg
50017,Dark Paradise,TAMI HOAG,Bantam,1994,https://images.amazon.com/images/P/0553561618.01.MZZZZZZZ.jpg
50152,Middlesex: A Novel,Jeffrey Eugenides,Picador,2003,https://images.amazon.com/images/P/0312422156.01.MZZZZZZZ.jpg
50340,The Rainmaker,JOHN GRISHAM,Dell,1996,https://images.amazon.com/images/P/044022165X.01.MZZZZZZZ.jpg
50774,The Bad Place,Dean R. Koontz,Berkley Publishing Group,1994,https://images.amazon.com/images/P/0425124347.01.MZZZZZZZ.jpg
51172,The Phantom Tollbooth,Norton Juster,Yearling Books,1993,https://images.amazon.com/images/P/0394820371.01.MZZZZZZZ.jpg
51294,Dances With Wolves,Michael Blake,Fawcett Books,1990,https://images.amazon.com/images/P/0449134482.01.MZZZZZZZ.jpg
51458,The Princess Bride: S Morgenstern's Classic Tale of True Love and High Adventure,WILLIAM GOLDMAN,Del Rey,1987,https://images.amazon.com/images/P/0345348036.01.MZZZZZZZ.jpg
51715,Degree of Guilt,Richard North Patterson,Ballantine Books,1995,https://images.amazon.com/images/P/034538184X.01.MZZZZZZZ.jpg
52056,SHIPPING NEWS,Annie Proulx,Scribner,1994,https://images.amazon.com/images/P/0671510053.01.MZZZZZZZ.jpg
52452,The Smoke Jumper,Nicholas Evans,Delacorte Press,2001,https://images.amazon.com/images/P/0385334036.01.MZZZZZZZ.jpg
52649,Anne of Green Gables,L.M. MONTGOMERY,Bantam Classics,1982,https://images.amazon.com/images/P/055321313X.01.MZZZZZZZ.jpg
53015,Fall On Your Knees,Ann-Marie MacDonald,Touchstone,2002,https://images.amazon.com/images/P/0743237188.01.MZZZZZZZ.jpg
53523,The Carousel,Belva Plain,Dell,1998,https://images.amazon.com/images/P/0440216842.01.MZZZZZZZ.jpg
53567,While I Was Gone,Sue Miller,Ballantine Books,1999,https://images.amazon.com/images/P/0345443284.01.MZZZZZZZ.jpg
54496,The House of the Spirits,Isabel Allende,Bantam Books,1986,https://images.amazon.com/images/P/0553273914.01.MZZZZZZZ.jpg
54830,Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,Perennial,1997,https://images.amazon.com/images/P/0060928336.01.MZZZZZZZ.jpg
56048,STONES FROM THE RIVER,Ursula Hegi,Simon &amp; Schuster,1997,https://images.amazon.com/images/P/0684844729.01.MZZZZZZZ.jpg
56126,Dragonfly in Amber,DIANA GABALDON,Dell,1993,https://images.amazon.com/images/P/0440215625.01.MZZZZZZZ.jpg
56252,Naked,David Sedaris,Back Bay Books,1998,https://images.amazon.com/images/P/0316777730.01.MZZZZZZZ.jpg
56669,Kiss the Girls,James Patterson,Warner Books,1995,https://images.amazon.com/images/P/0446601241.01.MZZZZZZZ.jpg
56899,Different Seasons,Stephen King,Penguin Putnam~mass,1983,https://images.amazon.com/images/P/0451124340.01.MZZZZZZZ.jpg
56961,The Witching Hour,ANNE RICE,Ballantine Books,1993,https://images.amazon.com/images/P/0345384466.01.MZZZZZZZ.jpg
57205,Jack and Jill,James Patterson,Warner Books,1997,https://images.amazon.com/images/P/0446604801.01.MZZZZZZZ.jpg
58282,American Gods,Neil Gaiman,HarperTorch,2002,https://images.amazon.com/images/P/0380789035.01.MZZZZZZZ.jpg
58866,Red Dragon,Thomas Harris,Dell Publishing Company,2000,https://images.amazon.com/images/P/0440206154.01.MZZZZZZZ.jpg
59233,Jurassic Park,Michael Crichton,Ballantine Books,1999,https://images.amazon.com/images/P/0345370775.01.MZZZZZZZ.jpg
59777,Stanislaski Brothers,Nora Roberts,Silhouette,2000,https://images.amazon.com/images/P/0373484224.01.MZZZZZZZ.jpg
59908,Neverwhere,Neil Gaiman,Avon,1998,https://images.amazon.com/images/P/0380789019.01.MZZZZZZZ.jpg
60151,The Thorn Birds,Colleen McCullough,Avon,1978,https://images.amazon.com/images/P/0380018179.01.MZZZZZZZ.jpg
